"","logFC","logCPM","F","PValue","FDR","significant"
"ENSG00000134343",-3.33151812899614,9.42838922208419,340.660197424769,1.6757637177864e-12,1.17239007794364e-09,TRUE
"ENSG00000171617",2.66766562931263,9.74653044357187,334.3249203591,1.94483943857085e-12,1.27268082608386e-09,TRUE
"ENSG00000131771",-2.96724801366311,7.65736473776999,334.042772377344,1.95904690106366e-12,1.27268082608386e-09,TRUE
"ENSG00000152931",5.82378316935645,5.38111382901073,287.016374694489,2.87915354740269e-12,1.80592424231914e-09,TRUE
"ENSG00000128578",-3.22532109306297,7.62987151747849,315.535180696918,3.07827018140231e-12,1.86645781999027e-09,TRUE
"ENSG00000117016",2.60330508810164,7.89925609350151,307.759480439651,3.74803933689264e-12,2.19925275929281e-09,TRUE
"ENSG00000165023",2.64262536213368,8.35748209003874,301.631644498257,4.39314011991008e-12,2.47906481787935e-09,TRUE
"ENSG00000015133",-3.57325374086559,6.04367170020019,301.24013769509,4.49747877900047e-12,2.47906481787935e-09,TRUE
"ENSG00000230051",-5.17110112586698,5.94063896738727,300.126089833076,4.65924706773362e-12,2.49269718123749e-09,TRUE
"ENSG00000178233",3.65495269725437,5.97662634670791,297.837622185652,4.91956587793186e-12,2.55676866627373e-09,TRUE
"ENSG00000172995",-2.96229046676864,10.1809069066031,295.261500175003,5.1985328418203e-12,2.6030603626984e-09,TRUE
"ENSG00000165985",5.40829874445055,5.43141323825368,284.135326775026,5.29484515777024e-12,2.6030603626984e-09,TRUE
"ENSG00000157542",4.01762821930726,6.58147865741268,291.990347597161,5.71985383449988e-12,2.73800371709349e-09,TRUE
"ENSG00000113494",-5.45945909998226,6.09180717388013,285.153565351643,6.74374971538065e-12,3.14535403391728e-09,TRUE
"ENSG00000147246",-4.35141365633094,7.24998158841106,283.756518033001,7.14728371933011e-12,3.22338954322849e-09,TRUE
"ENSG00000114757",2.60100559298058,8.10206914706712,282.987838434091,7.26547395669973e-12,3.22338954322849e-09,TRUE
"ENSG00000277586",2.18096461903335,9.19795405442869,282.040393633363,7.45871859915273e-12,3.23033550758543e-09,TRUE
"ENSG00000165983",4.47347479781012,6.45202301993128,281.842082099246,7.67559439312777e-12,3.24695493048823e-09,TRUE
"ENSG00000185518",2.75341707799194,9.18690197046144,278.198433090296,8.30890102893131e-12,3.4349752208241e-09,TRUE
"ENSG00000086289",3.02158236322936,6.63390885743906,277.106446189537,8.58508689125775e-12,3.47028290115508e-09,TRUE
"ENSG00000174948",-4.38445176365279,5.67049018794243,277.359019737233,9.05889648475718e-12,3.58220276212463e-09,TRUE
"ENSG00000187094",4.5417999622582,5.97033185431086,273.238949551614,1.01344874608834e-11,3.87433346662843e-09,TRUE
"ENSG00000141404",-2.65300388121859,8.41032807303917,270.956412979418,1.02236397140277e-11,3.87433346662843e-09,TRUE
"ENSG00000022355",2.66110234799751,8.65101956628164,270.15980552166,1.04623446717102e-11,3.88387856282468e-09,TRUE
"ENSG00000164112",7.49641019107137,5.08664392472555,209.652455338986,1.08599389605899e-11,3.9508457938626e-09,TRUE
"ENSG00000081803",3.28329368516905,7.17602102236484,265.031411165791,1.2173851652848e-11,4.34200708951579e-09,TRUE
"ENSG00000198963",2.3348239284587,7.60493317342079,263.43363580626,1.27532463429403e-11,4.46118367265546e-09,TRUE
"ENSG00000101327",-6.3543248717533,6.33934501515258,243.806717661573,1.61897232979704e-11,5.49758156439522e-09,TRUE
"ENSG00000145242",3.84930645337456,6.48482952174336,255.475394127658,1.63204730333888e-11,5.49758156439522e-09,TRUE
"ENSG00000100095",3.08878010728131,6.79213157312007,254.519754386785,1.67221330652144e-11,5.53046546284092e-09,TRUE
"ENSG00000072657",2.54717051832629,6.71612072465568,253.455520886816,1.72693028970077e-11,5.60943963743876e-09,TRUE
"ENSG00000119042",2.79281746469095,7.00403567852647,252.320687889181,1.78846085368698e-11,5.61666877504652e-09,TRUE
"ENSG00000154975",3.79072279432911,5.99628155321361,252.742878560336,1.79091142909675e-11,5.61666877504652e-09,TRUE
"ENSG00000174145",7.28361016551786,4.87863975963823,196.722965134803,1.88890230631668e-11,5.82358185625431e-09,TRUE
"ENSG00000108370",-3.77906716075141,5.65064326786459,245.2915176313,2.31060296205541e-11,7.00497797996464e-09,TRUE
"ENSG00000128271",-7.35536286887309,4.95185220328413,195.488422266883,2.45996539763712e-11,7.3355361611507e-09,TRUE
"ENSG00000116254",3.0764755308372,6.72084187928644,239.711505674793,2.67113839903612e-11,7.83677539975275e-09,TRUE
"ENSG00000183036",-4.10724522158767,6.65324463913008,238.371773483457,2.81248435747816e-11,8.12049054960758e-09,TRUE
"ENSG00000123416",2.11840383054122,9.17672544391218,235.780549649883,3.03362535184379e-11,8.62213205469351e-09,TRUE
"ENSG00000102003",1.99851424630515,8.58922213858158,235.227460119525,3.08979682688439e-11,8.64667758169646e-09,TRUE
"ENSG00000125869",-3.14896329923237,7.30651931912254,232.598790369529,3.37520615396219e-11,9.30227271826852e-09,TRUE
"ENSG00000257434",5.85144152483634,5.4256537639217,212.332285042786,3.46664762289467e-11,9.41168959111254e-09,TRUE
"ENSG00000115252",3.62554834106777,6.51508458397042,231.354977723041,3.53071236047321e-11,9.44465556426584e-09,TRUE
