SRR5961980_T1	SRR5961981_T1	SRR5961982_T1	SRR5962008_T1	SRR5962009_T1	SRR5962010_T1
ENSG00000007047	42.00911316267	42.03439	31.243164	43.969622069	68.24654	53.6381129256
ENSG00000007062	6.78198	5.4180916	2.0868	8.18049	5.107205	10.45223
ENSG00000007080	33.8418	46.3573	18.85451	15.28374	19.42792	6.45457
ENSG00000007129	0	3.25109	1.40873	0	2.7801	0
ENSG00000007168	394.6389601837	435.96364760593	512.751616191205	352.5968541396	322.8146771177	387.533276736267
ENSG00000007171	3.1922	1.43861	1.802786404	1.02955	2.32232	0
ENSG00000007174	7.145036	3.141959	8.06736	3.12084500399847	5.27891000960609	17.7844230048847
ENSG00000007202	74.981998	140.1398919	120.390386	57.7801200930977	98.253494541	96.16709
ENSG00000007216	0	0	0	0	0	0
ENSG00000007237	259.05945622327	245.79224921	360.26217	407.544112	339.4450429	408.486831526
ENSG00000007255	1.9006	8.35694	0	4.99963	2.85612	3.72625
ENSG00000007264	36.39608	44.72699	49.39219	16.49735	35.906	19.03051
ENSG00000007306	0	0	0	0	0	0
ENSG00000007312	1.00368	0	0	0	0	0
ENSG00000007314	0	0	0	0	0	0
ENSG00000007341	61.24887	44.739346539	56.06741	92.09299	82.94664	61.5743981
ENSG00000007350	0	0	0	0	5.30777	0
ENSG00000007372	18.3967218487	26.8232956237737	41.7333045	59.5513774754	41.3760128928006	25.5002769486764
ENSG00000007376	1.82598	5.33023	6.33903	6.19997	3.77831	0.799739
ENSG00000007384	6.987806	4.8669870338436	0	4.23697	5.7148	6.232217
ENSG00000007392	62.62662	52.126854	72.6004	72.55613257673	115.23159	83.145508
ENSG00000007402	2.58627	5.0222601621	8.3335842165	4.6682491367	8.05496	5.5166182543
ENSG00000007516	23.28763	14.5803839508	53.9670785491	11.4452273497	14.4187005114	12.04673582867
ENSG00000007520	31.17658	29.13355	28.6506	14.2955	17.3497	26.6563
ENSG00000007541	9.87427261	7.27837	13.834347	7.068759	1.9945398	6.3487974
ENSG00000007545	3.76249	6.16007	5.51882	3.57609	1.46586	3.080819
ENSG00000007866	0.794018	0	0	0	0	1.56632
ENSG00000007908	0	0	0	0	0.483173	3.33943
ENSG00000007923	48.0435080088738	60.468668459	41.13004	38.57977964	43.343661	59.986031
ENSG00000007933	0.536937	0.963745	0	0	0	3.13749
ENSG00000007944	20.89396	14.5034	9.9747	15.1986	12.3172	11.5185
ENSG00000007952	0	0	3.17308	0	5.90093	0
ENSG00000007968	0	0	0.321956	0	0	0
ENSG00000008018	163.64196	152.22107	132.83349	136.9626	159.9	152.9005
ENSG00000008056	25.27542	64.4279590203	73.68938649	21.7968909745	10.8320675936	26.7695183747
ENSG00000008083	9.62025	8.82714	7.13601	11.38841	11.793641	10.1142
ENSG00000008086	124.95415	156.78605130466	127.758810033173	91.90342	85.90797200595	106.97319061
ENSG00000008118	42.422109	72.0146	63.5231	37.08863	32.82339	58.89331
ENSG00000008128	5.28297	20.70162	7.09742	13.86586	13.1506582	17.270088
ENSG00000008130	12.60034	38.30122	18.89009002	18.089384	9.0238	30.12165
ENSG00000008196	0	0	0	0	0	0
ENSG00000008197	0	0	2.964095	0	0	0
ENSG00000008226	1.275855	1.706	0.489617	0.662851	5.259147	0.521296
ENSG00000008256	27.4113887	19.3640605	23.8003275	26.3078921	26.9829614	15.6094882
ENSG00000008277	138.484270001317	119.03936	130.5194805501	88.61215	77.564938	107.84372225606
ENSG00000008282	10.848450155953	24.73628	17.26442	17.437255	27.55211	27.91834
ENSG00000008283	16.9301	22.7043	19.9339	18.4272	21.44521	13.83642
ENSG00000008294	477.19745952754	389.14447893328	511.86307587179	432.9543063	550.461210417995	529.619430181384
ENSG00000008300	5.28711	10.0559	5.2207	6.180955	3.7513267	9.82379
ENSG00000008311	13.01971901325	17.15815	23.88146	31.2395871645875	25.8662692327541	33.513942
ENSG00000008323	0	0	0	0	0	0
ENSG00000008324	14.974009	14.2873	14.4519	12.2602	9.32139	14.879
ENSG00000008382	24.34933	27.71814749	12.53354	16.05163	11.978480855	17.17337
ENSG00000008394	36.6969590636	40.1785	52.207623	56.910499327	60.597123	54.955770640697
ENSG00000008405	17.948426	25.69315	12.659	28.14804	19.28738	31.41349
ENSG00000008438	1.85571	0	0	0	0	0
ENSG00000008441	30.1195	34.16425	33.25439	22.092119	21.8648	14.74552
ENSG00000008513	14.37086118	7.3280002	23.655648	15.69571306	18.14644008	9.590861911
ENSG00000008516	0	0	0	0	0	0
ENSG00000008517	0	0	0	3.65074	0	2.68682
ENSG00000008710	30.703312	27.68251279	53.9963749880504	20.0315700137609	35.812054	37.07874
ENSG00000008735	19.7068	24.2681	24.7861	14.86354	9.88533	9.93947
ENSG00000008838	34.637037141439	19.318528	67.38628206996	36.8937101289	50.4661825897	33.762116
ENSG00000008853	35.026706671531	59.0804298339518	41.6418015868284	32.067	22.778413	27.20123
ENSG00000008869	35.9857	35.48538	42.23611	43.5804600730796	33.9153	36.026
ENSG00000008952	262.00171	237.4808	272.0931	265.29894	237.75512	251.80702
ENSG00000008988	786.89249	567.45664	557.874466	818.829911	859.77202	961.47534
ENSG00000009307	682.09876095691	433.412444487149	496.363438381865	582.816656793801	522.56669299878	495.313009373
ENSG00000009335	75.56418936196	68.08765	73.946726	91.05055	112.66302	135.79237
ENSG00000009413	104.469640907125	71.921301433	115.37424026	94.11024423392	139.141450564244	77.0945601916877
ENSG00000009694	32.55531	27.025118	24.33512	41.13427	23.25721	27.43279
ENSG00000009709	0.674286	0.608701	1.60213	0	0.258251	0.221901
ENSG00000009724	6.1411	20.80884	15.36863	9.55523	4.15658	10.12124
ENSG00000009765	0	0.218822	0	0	0	0
ENSG00000009780	19.744938	14.6101	18.90584	20.24632	34.61698	9.51235
ENSG00000009790	0.324652	0	3.905252	3.61762	7.109597	4.098219
ENSG00000009830	44.0939510588	41.748801	69.3957295	91.0562425176	24.77253091215	75.042906
ENSG00000009844	81.91847	72.07844	69.47715	42.80431	33.532865	49.50741
ENSG00000009950	0.698876	0.62908	3.51001	1.588412	3.404343	0.459639
ENSG00000009954	51.8152	45.7346	47.425	52.7409	50.9937	62.85705
ENSG00000010017	82.1618	72.143	83.1524	38.4339	55.3447	54.2794
ENSG00000010030	0.90571	0	0	0	1.37613	0
ENSG00000010072	11.368736	14.2029	12.66747	8.67748	14.56184	21.26596
ENSG00000010165	26.92091	25.995096	30.49882	14.28711	13.77665	18.25566
ENSG00000010219	38.91017	19.761004	26.2672	22.327521	38.98643	40.23626
ENSG00000010244	111.883197	82.7662403632	85.318728	115.98238	176.9252	145.91996
ENSG00000010256	222.1526	160.27717	253.83250439	97.42345	122.20427	91.50739
ENSG00000010270	75.84239	59.229457	57.3619	54.40016	59.58484	44.38295
ENSG00000010278	56.8835077382	22.308037	59.38914	25.272833053	37.168753	75.2927460771273
ENSG00000010282	16.77503	27.81445	10.37225	18.203522059	21.544207	19.98959
ENSG00000010292	19.15527	8.059034	25.08294	15.208999	17.10708	28.2796
ENSG00000010295	19.05805	13.567565	21.42578	6.900126	11.95763	10.9277414
ENSG00000010310	0	0.606783	0.516791	2.613928	0.650813	1.25183
ENSG00000010318	20.372997	4.253	3.80626	22.24298	17.02166	25.4549
ENSG00000010319	4.455549	9.68591	0.3343	2.87044	1.29304	2.907365
ENSG00000010322	61.3437655	109.8708652	63.7338756	64.1264766	44.004059243186	47.2448293
ENSG00000010327	9.458512	7.898606	2.396352	5.993036	6.764745	3.939529
ENSG00000010361	12.237863	10.6713119	8.296526	8.812281	4.99886	27.46168
ENSG00000010379	5.561063	6.86076	8.29178	15.65582	10.6486	8.88261
ENSG00000010404	263.11891	314.22868	346.84905	274.16643	266.06377	243.59724
ENSG00000010438	23.7007	33.4782	30.75569	10.12566	5.87847	6.20266
ENSG00000010539	9.419510182474	6.31043	6.331974	5.183505	9.97528	16.68769
ENSG00000010610	12.14132	8.80977	0.558548	8.03663	3.50808	9.89582
ENSG00000010626	11.42525	9.00089982	17.85585838	37.47826	19.889445334	22.28428
ENSG00000010671	3.17483	1.2349	7.58583	7.230732	18.048585	4.05412220137
ENSG00000010704	1.567925	2.89018	2.585456	4.33181	6.402455	2.067555
ENSG00000010803	25.2967	15.359999157383	27.27329	20.20685905	35.4249519628185	13.35886
ENSG00000010810	214.10576	215.603079997	273.33501	199.97592	241.9542136	214.46752473
ENSG00000010818	87.094218	112.6528	119.8322166	84.034635589	77.4669522095018	92.0100100214915
ENSG00000010932	0	0	0	0.747132	0	0
ENSG00000011007	16.7102	9.67537	18.46454	16.8324	39.9763	21.9668500033997
ENSG00000011009	9.96727	7.822466	12.83479	9.61993	11.30053	9.98493
ENSG00000011021	20.28799	15.2647	44.96761	31.906689	12.79728	13.05560468
ENSG00000011028	0.335428557979	2.771473	1.394457	5.45946	6.938568	3.38238
ENSG00000011052	0	20.8932	0	0	8.93567	0
ENSG00000011083	11.4818	14.8533	12.14628	0	0.900784	0.59475
ENSG00000011105	7.660839416	4.538274135	15.896536024	12.471278073	7.611698043	8.990483941
ENSG00000011114	34.17083	37.12888	29.73525	29.01964	32.06271	34.66175
ENSG00000011132	3.059493	0.899545	0	1.69818	0	4.5567
ENSG00000011143	14.580534	6.6936877	12.871703	11.45908886	14.08166	16.029138
ENSG00000011198	12.28559	11.020857	13.03489	10.68279	8.586450307	14.53656
ENSG00000011201	10.1953	15.3901	12.708	17.0592	20.6981	24.00135
ENSG00000011243	31.5550940062579	30.439779	35.458366	48.00945	43.739059052641	36.236047116485
ENSG00000011258	11.94066	16.4073	11.60932	17.5055890367302	24.5810001	23.65997
ENSG00000011260	59.86469	32.13322	30.378656	87.55583	43.6593	53.36812
ENSG00000011275	31.3594000159285	32.66676	32.79886	46.19611	41.85482	48.479976682
ENSG00000011295	102.50262	94.70467	104.03043	79.20343	88.69885	80.10769
ENSG00000011304	9.76526232777722	4.23352	19.17997	8.67972	18.289647850817	26.60874
ENSG00000011332	36.29949234508	42.14105	21.66018335227	28.9046117248	32.22591251116	26.25909443929
ENSG00000011347	38.74566	73.44163	61.4193	21.9876	25.30758	19.94643
ENSG00000011376	17.3255406	36.1680252310628	17.350020905459	22.067573	28.663248	39.846022
ENSG00000011405	64.65581502256	60.1661	97.52986	159.16130263321	144.6741739928	99.93478586
ENSG00000011422	0	0	0	0	0	0
ENSG00000011426	186.94119	160.11951	183.3685	80.18718544	138.39085	229.43211
ENSG00000011451	2.709654	7.53186	5.7508	1.50421	2.282829	1.558997
ENSG00000011454	112.73963	87.25785	87.8307	115.23895	98.660380803535	130.52509
ENSG00000011465	92.0437854	78.580261	35.276815	43.851539712	70.79251	50.70678
ENSG00000011478	0.630738	2.17356	7.42818	2.76435	0.974067	6.262792
ENSG00000011485	90.72003	47.35766016993	122.05473	56.468077	37.513391	29.038987
ENSG00000011523	45.537735434913	31.254508	49.8873866142494	43.279654705989	40.531563959958	32.62044529623
ENSG00000011566	72.442091	89.56699	74.28626	134.76473	211.837349	119.029142
ENSG00000011590	1.91486	0	2.99702	0.873571	0	7.408052
ENSG00000011600	14.6768	25.5769	4.35666	14.4897	10.9658	0
ENSG00000011638	2.51	10.94637	2.40869	31.95478	29.26577	30.970495
ENSG00000011677	71.40275	55.47616	67.2781	34.358992	32.1954000337354	7.110098
ENSG00000012048	11.200739	11.715945	13.067368	9.4023645563795	17.12328	15.856767
ENSG00000012061	56.4769	34.395502058	22.883474	43.71045	32.101118	23.328009
ENSG00000012124	9.34933	0.940207	11.979428	9.45383	40.460694	75.102717
ENSG00000012171	13.8272460153573	17.40021	8.1736526	8.71253	14.3841101601	10.637308
ENSG00000012174	8.806529	14.654042	17.0146	10.678425	15.77349	11.276817
ENSG00000012211	0	0	0	0	1.85744	0
ENSG00000012223	0.517605	0	0	0	0	0.680359
ENSG00000012232	41.24896033	71.4316140101538	48.1762223545911	68.22299	28.346538	43.442014211
ENSG00000012504	0	0	0	0	0	0
ENSG00000012660	45.80273	52.8904683194	41.85597	45.93655	31.52599	52.04448
ENSG00000012779	3.5690326	2.46558	2.16882	3.09382	15.58607	1.20251
ENSG00000012817	0	0	0	0	67.5946152	0
ENSG00000012822	78.81864	58.86358	76.621832	152.520811	128.65236	115.281142
ENSG00000012963	42.8105	38.213055	45.39223	62.2169	38.31155	49.122
ENSG00000012983	42.8253350044168	66.6840100091464	35.9875600110448	88.011930022254	102.115820051171	81.4234400185426
ENSG00000013016	54.5255	51.3719	70.1581	16.7674	11.7934	13.0034
ENSG00000013275	74.187900052957	55.838	82.8006	53.6302	50.43204	45.84664
ENSG00000013288	8.25632	10.8432	15.71318	16.48606	11.34097	16.72099
ENSG00000013293	39.4323	37.1754	42.7335	39.40893	33.9236	27.5237
ENSG00000013297	27.05542	17.15196	17.20761	10.57866	14.91198	39.69839
ENSG00000013306	17.9864070374653	4.404877610497	17.6007700250945	5.73176	16.315597	11.31011
ENSG00000013364	12.34883	4.760985	6.5999	8.86055	11.11018955	16.785289
ENSG00000013374	99.58717	68.9397155	84.96584	75.2111772729896	65.13333	70.16844
ENSG00000013375	31.796161808332	42.33376354	22.7457065519	29.350183906578	43.3897045091283	37.14221965
ENSG00000013392	7.91463	13.2448	17.9115	6.14214	9.57663	7.4397
ENSG00000013441	93.49789	157.07543	100.89505011424	151.80867	136.72995	168.16961
ENSG00000013503	24.1727	33.71433	37.7091	50.3822	36.131	53.5867
ENSG00000013523	5.125342	17.92057	14.4368	26.92083	15.20709	18.83923
ENSG00000013561	151.711862975	136.72526709277	168.8515473726	139.993180007967	142.7868	96.9464
ENSG00000013563	12.564018917278	6.14645	6.79824	7.92101	5.1476	5.13374
ENSG00000013573	12.72043576261	13.88393	8.51651	21.33817	17.86836	15.632353
ENSG00000013583	7.675836	23.1738	10.4386	17.24253	13.92907	15.36303
ENSG00000013588	0	2.6767	0	0	0	0.226539
ENSG00000013619	3.77309000296387	1.77789000579059	3.67695	4.0189800210803	10.57128236	5.18473
ENSG00000013725	6.20815	7.185169	0	0.45555	0	0
ENSG00000013810	3.88848	4.51219	3.104713	0.496795	0.560233	2.733681
ENSG00000014123	33.622	35.23682	32.175	37.8393	36.0996	36.3193
ENSG00000014138	3.544694	8.33233	11.66227	1.91787292279	2.871829	6.92769
ENSG00000014164	0	0.590671	0.518972	0.444934	2.00633	0.862933
ENSG00000014216	19.02326	54.4682733027	23.464447	18.583586936871	21.712642	11.842953
ENSG00000014257	2.41158	0	8.00606	3.33712127406	3.60479	3.1448232
ENSG00000014641	744.12004	556.14735	587.70529871	408.79994	363.14169	337.803948576
ENSG00000014824	255.48341	218.747	216.40732	160.23665	197.94678	144.9483
ENSG00000014914	10.942569	6.81447	2.393227	1.752131	7.54347	0.520693
ENSG00000014919	18.32778	24.4389	27.65221	17.87882	22.5381	18.37496
ENSG00000015133	5.80998669	2.25425	5.78655	49.947471	87.573849	77.002223
ENSG00000015153	51.73272	75.849302	87.03872167381	76.66406148951	84.99031	82.181220783679
