SRR5961980_T1	SRR5961981_T1	SRR5961982_T1	SRR5962008_T1	SRR5962009_T1	SRR5962010_T1
ENSG00000006756	9.937383	3	4.999997	9.81917	8.01985	12.14801
ENSG00000006757	18.0124	10.000006	18.01851	30.05812	22.01971	33.1072
ENSG00000006788	1.000000373217	0	0	0	0	0
ENSG00000006831	89.00002	44	81.99999	51.00001	68	86.00005
ENSG00000006837	16.25159	5.18191	8.756458	7.312714	7.256382	18.76353
ENSG00000007001	7.00000961679	5.0000010003	4.00000273793	6.99999950482	8.0000007801	10.99999907151
ENSG00000007038	0	0	1	0	1	0
ENSG00000007047	29.0012556506	19	18.999998	26.1769539161	36.04926	33.0134085977
ENSG00000007062	11.99997	10.000002	3	5	5.9999967	7.999997
ENSG00000007080	19.00005	15.99996	6.80682	6	6.99999	4
ENSG00000007129	0	1	1	0	1	0
ENSG00000007168	1118.6307878042	651.063852516423	844.25534475149	677.1962618101	504.4136662946	732.654375472689
ENSG00000007171	12	3	4.999998136	2	4	0
ENSG00000007174	21.00003	4	10.000001	20.000018038941	28.999971083171	47.0000080492532
ENSG00000007202	321.31979	205.793898	220.356196	222.757014448509	209.43548286	253.427061
ENSG00000007216	0	0	0	0	0	0
ENSG00000007237	1029.9718280145	609.7807016	817.994402	801.31661	562.5394014	840.57599999
ENSG00000007255	1	3	0	2	1	1
ENSG00000007264	43.00007	33.99999	33	15.99996	22	13
ENSG00000007306	0	0	0	0	0	0
ENSG00000007312	1	0	0	0	0	0
ENSG00000007314	0	0	0	0	0	0
ENSG00000007341	55.00125	30.477804183	29.077801	71.970672	53.63658	51.5175119
ENSG00000007350	0	0	0	0	1	0
ENSG00000007372	25.0235914968	32.0000012218469	23.67171296	50.9999602814	26.5848775278135	47.9999935809779
ENSG00000007376	3	3	3	3	1	1
ENSG00000007384	4.999998	3.0000000141455	0	3	2	6
ENSG00000007392	65.99998	46.198362	41.999999	62.99996103077	74.53181	79.999974
ENSG00000007402	10	11.999995318	21.0000339843	15.999979526	23	21.000003144
ENSG00000007516	69.99997	33.0000110064	58.2551097042	17.9999782866	23.2229184015	13.0596072009
ENSG00000007520	27.99997	14.99996	18.7449	11	11.777	20.9404
ENSG00000007541	8.00000387	4	10	3	2.6723162	7.0000004
ENSG00000007545	27.6943	25.1006	25.639	19.3297	7.04028	16.5429582
ENSG00000007866	2	0	0	0	0	3
ENSG00000007908	0	0	0	0	1	1
ENSG00000007923	80.7981940294807	47.716167157	44.00002	44.06511267	40.02116	50.12788
ENSG00000007933	1	1	0	0	0	1
ENSG00000007944	58	23	18	32	23	25
ENSG00000007952	0	0	1	0	2	0
ENSG00000007968	0	0	1.00345	0	0	0
ENSG00000008018	120.00045	66.00001	65.00001	80	83	96
ENSG00000008056	75	95.000034609	107.86206651	37.9999903272	18.2177269564	30.9999917667
ENSG00000008083	52	28	25	47	43.99999	44
ENSG00000008086	629.36417	487.57583335375	574.893800298061	419.25738	332.9986386278	536.32483994
ENSG00000008118	92.000029	35	55	35.00001	31.00004	50.00001
ENSG00000008128	2.64764	9.0807	4.562694	5.72565	4.04644823	7.6431617
ENSG00000008130	32.00001	22	19.00004695	21.99999	17	28.99998
ENSG00000008196	0	0	0	0	0	0
ENSG00000008197	0	0	2.999995	0	0	0
ENSG00000008226	4.91074	2.49216	1	3.21572	3.26331	2.61519
ENSG00000008256	55.9999831	37.9999622	36.000032	29.0000525	32.9999828	32.9999659
ENSG00000008277	810.000090011839	425.00022	501.000616776	353.00039	268.000498	391.00019441334
ENSG00000008282	18.00002013124	18.99999	13	12	20.99999	29.00002
ENSG00000008283	45.9615	34.2482	35.1717	36.9071	23.351579	20.76961
ENSG00000008294	1025.0000529658	481.9997286324	586.3842587229	567.999249	525.495218602668	647.316740621528
ENSG00000008300	51.99996	36	38	28.000015	24.9999598	30.00004
ENSG00000008311	49.9295432906	34.59468	64.68436	80.5903295374473	98.9217821431179	141.029554
ENSG00000008323	0	0	0	0	0	0
ENSG00000008324	14.00288	7	8	8	7.2988	9.8847
ENSG00000008382	14	8.99999944	7.999998	6	3.00000558	6
ENSG00000008394	12.000003155	8	14.00637	13.0251170838	20.000037	17.000004367517
ENSG00000008405	47.999936	20.99999	17.000046	39.00001	29.000032	26.99995
ENSG00000008438	1	0	0	0	0	0
ENSG00000008441	77.00001	68.9999	66.82289	41.999958	37.99999	36.00001
ENSG00000008513	60.1425416	27.000012	37.999986	20.03359252	20.27053357	15.09865456
ENSG00000008516	0	0	0	0	0	0
ENSG00000008517	0	0	0	1	0	1
ENSG00000008710	64.42495	33.28695041	54.52529734333	47.4659480166312	41.4015693	33.554674
ENSG00000008735	107	73	84.9691	59.24196	35.0411	41
ENSG00000008838	45.999985279123	21.999981	43.99994323143	21.1691765899	21.999992215	29.999971
ENSG00000008853	116.46414657991	108.715707308604	82.8038051944212	76.7897	55.755666	81.55053
ENSG00000008869	239	112.00015	154.99969	152.000400024832	147	161
ENSG00000008952	580.29753	288.38966	428.922	399.29852	351.546	426.9165
ENSG00000008988	479.56673	193.96645	220.31273	357.01824	338.72804	377.059318
ENSG00000009307	1295.70165902042	575.643888772488	701.691360024029	765.666706613209	693.4913219541	847.433802722
ENSG00000009335	227.01001051427	102.005185	139.99968	137.00034	131.1351	151.01151
ENSG00000009413	198.37416320666	146.3909589	175.689667	194.51457252576	197.88118768909	207.909810122626
ENSG00000009694	120.99994	93.00002	112.99999	155.99994	120.99998	139.00005
ENSG00000009709	4	2	6	0	1	1
ENSG00000009724	7	13.34049	12	11	3	10
